flow_duration,total_fwd_packets,total_backward_packets,total_length_fwd_packets,total_length_bwd_packets,attack_label,bytes_per_sec,pkts_per_sec,fwd_to_bwd_ratio,protocol_other,protocol_tcp,protocol_udp,__perturbed
4,5,0,0,0,DoS Hulk,0.0,1.25,5.0,False,False,True,1
43,1,1,2,6,PortScan,0.1860465116279069,0.0465116279069767,0.5,False,True,False,0
23629,1,1,45,61,BENIGN,0.0044860129501883,8.464175377713826e-05,0.5,False,False,True,0
228,1,2,0,0,BENIGN,0.0,0.0131578947368421,0.3333333333333333,False,True,False,0
37958,5,2,267,293,BENIGN,0.01475314821644976,0.000184414352705622,1.6666666666666667,False,False,True,1
62055,2,2,74,188,BENIGN,0.0042220610748529,6.445894770767868e-05,0.6666666666666666,False,False,True,0
47,1,1,0,5,PortScan,0.10638297872340426,0.0425531914893617,0.5,False,True,False,1
91394,1,1,57,144,BENIGN,0.0021992690986279,2.188327461321312e-05,0.5,False,False,True,0
71727,1,1,45,146,BENIGN,0.0026628745102959,2.788350272561239e-05,0.5,False,False,True,0
151,5,0,11,0,BENIGN,0.0728476821192053,0.033112582781456956,5.0,True,False,False,1
67921723,15,16,1240,5083,BENIGN,9.309245585539696e-05,4.564077386552753e-07,0.8823529411764706,False,True,False,0
77933,7,4,145,181,BENIGN,0.0041830803382392565,0.00014114688257862523,1.4,False,True,False,1
161350,2,12,573,11248,DoS Hulk,0.07326309265571739,8.676789587852495e-05,0.15384615384615385,False,False,True,1
5,3,0,0,0,DoS Hulk,0.0,0.6,3.0,False,True,False,0
23551,1,1,55,108,BENIGN,0.0069211498450171,8.492208398794107e-05,0.5,False,False,True,0
10700787,25,20,7884,3370,BENIGN,0.0010516983470468,4.205298171059754e-06,1.1904761904761905,False,True,False,0
5278005,7,1,0,0,BENIGN,0.0,1.5157242177678877e-06,3.5,True,False,False,1
449,2,0,12,0,BENIGN,0.0267260579064587,0.0044543429844097,2.0,False,True,False,0
754853,9,10,703,3950,BENIGN,0.0061641140725412,2.5170463653188103e-05,0.8181818181818182,False,True,False,0
81,1,1,2,6,PortScan,0.0987654320987654,0.0246913580246913,0.5,False,True,False,0
118994,1,1,45,135,BENIGN,0.0015126813116627,1.6807570129586367e-05,0.5,False,False,True,0
1848147,6,2,11607,26,BENIGN,0.0062944127279918,4.328660003776756e-06,2.0,False,True,False,0
167,4,4,154,102,BENIGN,1.532934131736527,0.04790419161676647,0.8,False,False,True,1
3,2,0,0,0,BENIGN,0.0,0.6666666666666666,2.0,False,True,False,0
115915516,18,15,878,1592,BENIGN,2.1308622738650448e-05,2.8469010136658494e-07,1.125,False,True,False,0
187,4,4,131,114,BENIGN,1.3101604278074865,0.0427807486631016,0.8,False,True,False,1
16100691,10,9,2495,855,BENIGN,0.0002080656041408,1.1800735757241724e-06,1.0,False,True,False,0
113182,1,1,44,134,BENIGN,0.0015726882366454,1.767065434433037e-05,0.5,False,False,True,0
551,3,0,18,0,BENIGN,0.0326678765880217,0.0054446460980036,3.0,False,True,False,0
70,1,1,0,0,BENIGN,0.0,0.0285714285714285,0.5,False,True,False,0
91257776,2,0,0,0,DoS GoldenEye,0.0,2.1915940620775157e-08,2.0,False,True,False,0
5423699,9,6,379,5035,BENIGN,0.0009982117370451,2.7656402023784875e-06,1.2857142857142858,False,True,False,0
62,1,1,187,6,BENIGN,3.1129032258064515,0.032258064516129,0.5,False,True,False,0
44,1,1,2,6,PortScan,0.1818181818181818,0.0454545454545454,0.5,False,True,False,0
3,2,0,0,0,DoS Hulk,0.0,0.6666666666666666,2.0,False,True,False,0
27049,2,0,12,0,BENIGN,0.0004436393212318,7.393988687197309e-05,2.0,False,True,False,0
200,4,0,33,0,BENIGN,0.165,0.02,4.0,False,False,True,1
5411350,1,6,1375,30,BENIGN,0.0002596394615022,1.293577388267253e-06,0.1428571428571428,False,True,False,0
972,2,1,0,0,BENIGN,0.0,0.0030864197530864196,1.0,True,False,False,1
310603,6,6,847,3657,BENIGN,0.0145008258130153,3.863452703290052e-05,0.8571428571428571,False,True,False,0
30897,1,1,53,69,BENIGN,0.0039486034242806,6.473120367673237e-05,0.5,False,False,True,0
55,1,1,0,0,BENIGN,0.0,0.0363636363636363,0.5,False,True,False,0
1648560,2,0,12,0,BENIGN,7.279079924297568e-06,1.2131799873829282e-06,2.0,False,True,False,0
48,2,0,12,0,BENIGN,0.25,0.0416666666666666,2.0,False,True,False,0
60497,1,1,61,150,BENIGN,0.0034877762533679,3.305949055325058e-05,0.5,False,False,True,0
5648503,7,4,635,168,BENIGN,0.0001421615603284,1.9474186346364693e-06,1.4,False,True,False,0
18,1,1,0,6,PortScan,0.3333333333333333,0.1111111111111111,0.5,False,True,False,0
92778574,4,4,140,432,BENIGN,6.1652165509678994e-06,8.622680490864195e-08,0.8,False,False,True,0
32310,10,5,157,262,BENIGN,0.012968121324667285,0.00046425255338904364,1.6666666666666667,False,True,False,1
30173,1,1,52,68,BENIGN,0.0039770655884399,6.628442647399993e-05,0.5,False,False,True,0
253,2,2,0,0,BENIGN,0.0,0.015810276679841896,0.6666666666666666,True,False,False,1
5699781,4,2,29,0,BENIGN,5.087914781287211e-06,1.0526720237145953e-06,1.3333333333333333,False,False,True,1
5209654,7,4,635,168,BENIGN,0.0001541369158105,2.111464600144271e-06,1.4,False,True,False,0
66784,3,4,433,2279,BENIGN,0.0406085289889793,0.0001048155246765,0.6,False,True,False,0
3,2,0,4,0,BENIGN,1.3333333333333333,0.6666666666666666,2.0,False,True,False,0
46,2,0,0,0,BENIGN,0.0,0.043478260869565216,2.0,True,False,False,1
473,6,6,408,372,BENIGN,1.649048625792812,0.0253699788583509,0.8571428571428571,False,False,True,0
60384,1,1,49,105,BENIGN,0.0025503444621091,3.312135665076842e-05,0.5,False,False,True,0
441972,5,0,30,0,DDoS,6.787760310607912e-05,1.1312933851013186e-05,5.0,False,True,False,0
154,2,2,66,98,BENIGN,1.0649350649350648,0.0259740259740259,0.6666666666666666,False,False,True,0
56,1,1,0,0,BENIGN,0.0,0.03571428571428571,0.5,True,False,False,1
61003,2,2,74,154,BENIGN,0.0037375211055194,6.557054571086668e-05,0.6666666666666666,False,False,True,0
8342,2,0,0,0,BENIGN,0.0,0.0002397506593143,2.0,False,True,False,0
194763,20,25,176,438,BENIGN,0.0031525495088902,0.0002310500454398,0.7692307692307693,False,True,False,0
1185713,8,2,11601,26,BENIGN,0.0098059142473768,8.433744084782742e-06,2.6666666666666665,False,True,False,0
314560,2,2,23,542,BENIGN,0.0017961597151576806,1.271617497456765e-05,0.6666666666666666,True,False,False,1
120881349,14,14,1077,19102,DoS Hulk,0.00016693228663422675,2.3163209404620394e-07,0.9333333333333333,False,False,True,1
35,2,0,4,0,BENIGN,0.11428571428571428,0.05714285714285714,2.0,False,True,False,1
52,1,1,2,6,PortScan,0.1538461538461538,0.0384615384615384,0.5,False,True,False,0
102163,2,3,0,18,BENIGN,0.0001761890312539,4.8941397570549024e-05,0.5,False,True,False,0
50145,1,1,52,68,BENIGN,0.0023930601256356,3.988433542726095e-05,0.5,False,False,True,0
37,1,1,0,0,BENIGN,0.0,0.054054054054054,0.5,False,True,False,0
958,1,1,43,105,BENIGN,0.1544885177453027,0.0020876826722338,0.5,False,False,True,0
27111,4,4,207,160,BENIGN,0.013536940725166906,0.0002950831765703958,0.8,False,False,True,1
94301,4,4,108,620,BENIGN,0.0077199605518499,8.483473133901019e-05,0.8,False,False,True,0
2803681,2,2,6,6,BENIGN,4.280087499255444e-06,1.4266958330851476e-06,0.6666666666666666,False,True,False,0
102,2,0,0,0,BENIGN,0.0,0.0196078431372549,2.0,False,True,False,0
745716,7,6,950,2669,BENIGN,0.0048530539776536,1.7432910115915444e-05,1.0,False,True,False,0
223636,1,1,6,6,BENIGN,5.365862383516071e-05,8.943103972526785e-06,0.5,False,True,False,0
3,2,0,4,0,BENIGN,1.3333333333333333,0.6666666666666666,2.0,False,True,False,0
88030,1,1,44,134,BENIGN,0.0020220379416108,2.2719527433829376e-05,0.5,False,False,True,0
115977911,31,36,724,33233,BENIGN,0.0002927885121158,5.776962132039091e-07,0.8378378378378378,False,True,False,0
115794249,20,17,1252,1061,BENIGN,1.997508529115293e-05,3.195322765986418e-07,1.1111111111111112,False,True,False,0
24526,2,2,66,98,BENIGN,0.0066867813748674,0.0001630922286553,0.6666666666666666,False,False,True,0
37559,2,6,79,488,BENIGN,0.015096248568918235,0.00021299821613993982,0.2857142857142857,False,False,True,1
258,3,0,12,0,BENIGN,0.0465116279069767,0.0116279069767441,3.0,False,True,False,0
16,1,1,6,6,BENIGN,0.75,0.125,0.5,False,True,False,0
78,2,0,0,0,BENIGN,0.0,0.0256410256410256,2.0,False,True,False,0
24705,2,2,80,258,BENIGN,0.0136814410038453,0.0001619105444242,0.6666666666666666,False,False,True,0
31085,1,1,40,124,BENIGN,0.0052758565224384,6.433971368827408e-05,0.5,False,False,True,0
914,1,1,49,112,BENIGN,0.1761487964989059,0.0021881838074398,0.5,False,False,True,0
111408,2,1,107,485,BENIGN,0.005313801522332328,2.6928048255062473e-05,1.0,False,False,True,1
97687595,6,6,384,11595,DoS Hulk,0.0001226256005176,1.2284057151780634e-07,0.8571428571428571,False,True,False,0
99015727,17,21,481,12278,BENIGN,0.00012885831762867326,3.8377741750055525e-07,0.7727272727272727,False,True,False,1
22336,1,1,48,48,BENIGN,0.0042979942693409,8.954154727793696e-05,0.5,False,False,True,0
1445475,7,14,76,29981,DDoS,0.020793856690707206,1.4528096300524049e-05,0.4666666666666667,False,True,False,1
351,2,0,0,0,BENIGN,0.0,0.0056980056980056,2.0,False,True,False,0
52236961,15,14,841,4140,BENIGN,9.535393913899394e-05,5.551624643707737e-07,1.0,False,True,False,0
978276,6,7,358,3776,BENIGN,0.0042258013076064,1.3288683357252965e-05,0.75,False,True,False,0
48,2,2,4,12,BENIGN,0.3333333333333333,0.0833333333333333,0.6666666666666666,False,True,False,0
35258,3,2,0,0,BENIGN,0.0,0.00014181178739576834,1.0,True,False,False,1
33,1,1,2,6,PortScan,0.2424242424242424,0.0606060606060606,0.5,False,True,False,0
13417245,7,4,920,644,BENIGN,0.0001165664039078,8.198404366917352e-07,1.4,False,True,False,0
281,3,0,31,0,BENIGN,0.1103202846975089,0.0106761565836298,3.0,False,True,False,0
313517,4,2,164,204,BENIGN,0.0011737800502046,1.913771820985784e-05,1.3333333333333333,False,False,True,0
50681,4,1,18,0,BENIGN,0.0003551626842406,9.865630117795624e-05,2.0,False,True,False,0
100083613,6,6,321,11595,DoS Hulk,0.0001190604499859,1.1989974822351788e-07,0.8571428571428571,False,True,False,0
3002904,3,0,0,0,DoS slowloris,0.0,9.99032936117838e-07,3.0,False,True,False,0
53,1,2,0,12,PortScan,0.22641509433962265,0.05660377358490566,0.3333333333333333,True,False,False,1
82,1,2,0,0,BENIGN,0.0,0.0365853658536585,0.3333333333333333,False,True,False,0
31047,2,2,68,236,BENIGN,0.0097916062743582,0.0001288369246626,0.6666666666666666,False,False,True,0
75568,4,4,69,620,BENIGN,0.00911761592208342,0.00010586491636671607,0.8,False,False,True,1
116391,1,4,73,610,BENIGN,0.0058681513175417345,4.295864800542997e-05,0.2,True,False,False,1
1971904,4,0,24,0,DDoS,1.217097789750414e-05,2.02849631625069e-06,4.0,False,True,False,0
117431144,56,57,2647,58982,BENIGN,0.000524809670593,9.622660237389837e-07,0.9655172413793104,False,True,False,0
22984,5,6,97,86,BENIGN,0.007962060563870518,0.00047859380438565957,0.7142857142857143,False,False,True,1
51,1,1,2,6,PortScan,0.1568627450980392,0.0392156862745098,0.5,False,True,False,0
60,1,1,0,0,BENIGN,0.0,0.0333333333333333,0.5,False,True,False,0
53,1,1,6,6,BENIGN,0.2264150943396226,0.0377358490566037,0.5,False,True,False,0
31322,3,7,102,19,BENIGN,0.0038630994189387652,0.0003192644147883277,0.375,False,True,False,1
46,1,1,6,6,BENIGN,0.2608695652173913,0.0434782608695652,0.5,False,True,False,0
33289,2,2,58,166,BENIGN,0.0067289495028387,0.0001201598125506,0.6666666666666666,False,False,True,0
145,2,2,56,88,BENIGN,0.993103448275862,0.0275862068965517,0.6666666666666666,False,False,True,0
63244,2,2,90,218,BENIGN,0.0048700271962557,6.324710644488014e-05,0.6666666666666666,False,False,True,0
4,1,1,6,6,BENIGN,3.0,0.5,0.5,False,True,False,0
198,2,2,102,158,BENIGN,1.3131313131313131,0.0202020202020202,0.6666666666666666,False,False,True,0
99219941,19,14,1104,11289,DoS Hulk,0.00012490432744764483,3.325944328066069e-07,1.2666666666666666,False,True,False,1
159,2,2,72,136,BENIGN,1.3081761006289307,0.0251572327044025,0.6666666666666666,False,False,True,0
116106136,33,46,702,51074,BENIGN,0.0004459368107814,6.804119293057863e-07,0.7021276595744681,False,True,False,0
169,2,2,80,156,BENIGN,1.396449704142012,0.0236686390532544,0.6666666666666666,False,False,True,0
7066971,7,2,0,0,BENIGN,0.0,1.2735300597667656e-06,2.3333333333333335,False,False,True,1
69387957,20,10,4030,720,BENIGN,6.845568316703719e-05,4.323516831602349e-07,1.818181818181818,False,True,False,0
86043196,8,5,372,11595,DoS Hulk,0.0001390813051621,1.5108690290862746e-07,1.3333333333333333,False,True,False,0
5066285,3,1,12,0,BENIGN,2.368599476736899e-06,7.895331589122996e-07,1.5,False,True,False,0
53075,1,3,53,291,BENIGN,0.006481394253414979,7.536504945831371e-05,0.25,False,True,False,1
3,6,0,31,0,BENIGN,10.333333333333334,2.0,6.0,False,False,True,1
121332,1,1,6,6,BENIGN,9.890218573830482e-05,1.6483697623050803e-05,0.5,False,True,False,0
28634,1,1,0,0,BENIGN,0.0,6.984703499336453e-05,0.5,True,False,False,1
212,2,2,60,264,BENIGN,1.528301886792453,0.0188679245283018,0.6666666666666666,False,False,True,0
409857,6,7,1338,646,BENIGN,0.0048407127363934,3.171837982515853e-05,0.75,False,True,False,0
305,2,2,74,590,BENIGN,2.177049180327869,0.0131147540983606,0.6666666666666666,False,False,True,0
60648,1,1,49,221,BENIGN,0.0044519192718638,3.297717979158422e-05,0.5,False,False,True,0
169,2,2,68,280,BENIGN,2.059171597633136,0.0236686390532544,0.6666666666666666,False,False,True,0
5923,2,0,17,0,BENIGN,0.0028701671450278576,0.00033766672294445384,2.0,False,False,True,1
8731129,9,3,20,0,BENIGN,2.29065450756712e-06,1.3743927045402718e-06,2.25,False,False,True,1
96119,1,1,57,115,BENIGN,0.0017894484961349,2.080754065273255e-05,0.5,False,False,True,0
45703,1,4,130,201,BENIGN,0.007242412970702142,0.00010940200862087828,0.2,False,True,False,1
68,2,2,4,12,BENIGN,0.2352941176470588,0.0588235294117647,0.6666666666666666,False,True,False,0
1092527,3,5,26,11601,DDoS,0.0106422999157,7.322473494934221e-06,0.5,False,True,False,0
235,5,4,141,307,BENIGN,1.9063829787234043,0.03829787234042553,1.0,False,True,False,1
133070,3,6,26,11607,DDoS,0.0874201548057413,6.76335763132186e-05,0.4285714285714285,False,True,False,0
13,1,1,0,6,PortScan,0.4615384615384615,0.1538461538461538,0.5,False,True,False,0
17014,2,1,12,0,DoS Hulk,0.0007053015163982,0.0001763253790995,1.0,False,True,False,0
274,2,0,0,0,BENIGN,0.0,0.0072992700729927,2.0,False,True,False,0
313,3,3,158,569,BENIGN,2.3226837060702876,0.019169329073482427,0.75,False,False,True,1
660075,8,6,30197,68,BENIGN,0.04585085028216491,2.1209711017687384e-05,1.1428571428571428,False,True,False,1
86578525,19,4,523,21867,DoS Hulk,0.0002586091643395403,2.656547914162317e-07,3.8,False,False,True,1
7138826,5,0,30,0,DDoS,4.202371650464656e-06,7.003952750774428e-07,5.0,False,True,False,0
85434049,6,6,298,11595,DoS Hulk,0.0001392067933008,1.4045922135798572e-07,0.8571428571428571,False,True,False,0
181,2,2,86,194,BENIGN,1.5469613259668509,0.0220994475138121,0.6666666666666666,False,False,True,0
23845,2,2,60,92,BENIGN,0.0063745019920318,0.0001677500524218,0.6666666666666666,False,False,True,0
1900502,1,1,57,57,BENIGN,5.998415155574685e-05,1.0523535360657343e-06,0.5,False,False,True,0
72586,2,2,78,120,BENIGN,0.00272779874907,5.510704543575896e-05,0.6666666666666666,False,False,True,0
56,1,1,0,0,BENIGN,0.0,0.0357142857142857,0.5,False,True,False,0
128,5,3,259,511,BENIGN,6.015625,0.0625,1.25,False,True,False,1
167,1,1,0,0,BENIGN,0.0,0.0119760479041916,0.5,False,True,False,0
3,2,0,0,0,DoS Hulk,0.0,0.6666666666666666,2.0,False,True,False,0
137,4,2,121,528,BENIGN,4.737226277372263,0.043795620437956206,1.3333333333333333,False,True,False,1
37292458,25,22,3593,12856,BENIGN,0.0004410811430021588,1.2603084516445657e-06,1.0869565217391304,False,True,False,1
82,2,1,12,6,BENIGN,0.2195121951219512,0.0365853658536585,1.0,False,True,False,0
134,5,1,148,261,BENIGN,3.0522388059701493,0.04477611940298507,2.5,False,True,False,1
25515927,7,5,447,226,BENIGN,2.6375682921494485e-05,4.702944948854886e-07,1.1666666666666667,False,True,False,0
366,2,2,80,180,BENIGN,0.7103825136612022,0.0109289617486338,0.6666666666666666,False,False,True,0
3,2,0,12,0,BENIGN,4.0,0.6666666666666666,2.0,False,True,False,0
103136,3,4,26,11607,DDoS,0.1127928172510083,6.787154824697487e-05,0.6,False,True,False,0
47,1,1,2,6,PortScan,0.1702127659574468,0.0425531914893617,0.5,False,True,False,0
60056,2,2,58,258,BENIGN,0.0052617556946849,6.66045024643666e-05,0.6666666666666666,False,False,True,0
3,2,0,12,0,BENIGN,4.0,0.6666666666666666,2.0,False,True,False,0
70,1,1,0,6,PortScan,0.0857142857142857,0.0285714285714285,0.5,False,True,False,0
45427,2,0,12,0,BENIGN,0.000264160081009,4.402668016818192e-05,2.0,False,True,False,0
48492,1,1,44,174,BENIGN,0.0044955869009321,4.124391652231296e-05,0.5,False,False,True,0
90,1,1,2,6,PortScan,0.0888888888888888,0.0222222222222222,0.5,False,True,False,0
165,2,2,82,114,BENIGN,1.187878787878788,0.0242424242424242,0.6666666666666666,False,False,True,0
157656,14,13,875,6890,BENIGN,0.0492528035723347,0.0001712589435226,1.0,False,True,False,0
49,1,1,0,6,PortScan,0.1224489795918367,0.0408163265306122,0.5,False,True,False,0
62850,1,1,42,98,BENIGN,0.0022275258552108,3.182179793158313e-05,0.5,False,False,True,0
99733645,9,6,303,11595,DoS Hulk,0.0001192977555367,1.504005995168431e-07,1.2857142857142858,False,True,False,0
111,2,0,12,0,BENIGN,0.1081081081081081,0.018018018018018,2.0,False,True,False,0
186,2,2,92,348,BENIGN,2.3655913978494625,0.021505376344086,0.6666666666666666,False,False,True,0
12617131,4,2,108,54,BENIGN,1.283968597932446e-05,4.755439251601652e-07,1.3333333333333333,False,False,True,0
41907,1,3,170,253,BENIGN,0.010093779082253562,9.544944758632209e-05,0.25,True,False,False,1
495580,7,5,376,3788,BENIGN,0.0084022761209088,2.421405222163929e-05,1.1666666666666667,False,True,False,0
11054569,10,11,4700,6827,BENIGN,0.0010427362658824,1.8996670064658331e-06,0.8333333333333334,False,True,False,0
1292595,3,4,26,11607,DDoS,0.0089997253586776,5.415462693264325e-06,0.6,False,True,False,0
91453312,85,146,1902,190610,BENIGN,0.0021050303787795,2.525878997143373e-06,0.5782312925170068,False,True,False,0
345,8,0,0,0,BENIGN,0.0,0.02318840579710145,8.0,True,False,False,1
